image_id, usage, remain_area, combination, arrangement
23,73.54%,19.049999999999997,"A8,B6,C9,D8,E3","{D8:[[1.0, 0.2],[7.6, 0.2],[7.6, 3.7],[1.0, 3.7]],C9:[[3.1, 3.7],[8.2, 3.7],[8.2, 7.2],[3.1, 7.2]],B6:[[7.6, 0.1],[10.0, 0.1],[10.0, 2.8],[7.6, 2.8]],A8:[[0.7, 3.7],[3.1, 3.7],[3.1, 5.5],[0.7, 5.5]],E3:[[0.0, 2.3],[1.0, 2.3],[1.0, 3.5],[0.0, 3.5]]}"
24,73.46000000000001%,19.110000000000007,"A7,B5,C9,D8,E4","{D8:[[0.1, 0.1],[6.7, 0.1],[6.7, 3.6],[0.1, 3.6]],C9:[[4.8, 3.6],[9.9, 3.6],[9.9, 7.1],[4.8, 7.1]],B5:[[6.7, 0.1],[9.1, 0.1],[9.1, 2.2],[6.7, 2.2]],E4:[[6.7, 2.2],[8.2, 2.2],[8.2, 3.4],[6.7, 3.4]],A7:[[0.7, 3.6],[3.7, 3.6],[3.7, 5.3],[0.7, 5.3]]}"
25,73.4%,19.150000000000006,"A5,B7,C9,D8,E3","{D8:[[0.5, 0.1],[7.1, 0.1],[7.1, 3.6],[0.5, 3.6]],C9:[[2.7, 3.6],[7.8, 3.6],[7.8, 7.1],[2.7, 7.1]],A5:[[7.1, 1.4],[9.6, 1.4],[9.6, 2.8],[7.1, 2.8]],E3:[[7.1, 0.2],[8.3, 0.2],[8.3, 1.2],[7.1, 1.2]],B7:[[0.0, 3.6],[2.4, 3.6],[2.4, 6.6],[0.0, 6.6]]}"
26,73.26%,19.25,"A8,B6,C9,D8,E2","{D8:[[1.0, 0.2],[7.6, 0.2],[7.6, 3.7],[1.0, 3.7]],E2:[[7.6, 2.1],[8.6, 2.1],[8.6, 3.1],[7.6, 3.1]],C9:[[2.5, 3.7],[7.6, 3.7],[7.6, 7.2],[2.5, 7.2]],B6:[[0.1, 3.7],[2.5, 3.7],[2.5, 6.4],[0.1, 6.4]],A8:[[7.6, 0.2],[10.0, 0.2],[10.0, 2.0],[7.6, 2.0]]}"
27,73.26%,19.25,"A6,B7,C9,D8,E3","{D8:[[0.1, 0.2],[6.7, 0.2],[6.7, 3.7],[0.1, 3.7]],A6:[[6.7, 1.1],[8.7, 1.1],[8.7, 2.8],[6.7, 2.8]],B7:[[6.7, 2.8],[9.7, 2.8],[9.7, 5.2],[6.7, 5.2]],C9:[[1.2, 3.7],[6.3, 3.7],[6.3, 7.2],[1.2, 7.2]],E3:[[6.7, 0.1],[7.9, 0.1],[7.9, 1.1],[6.7, 1.1]]}"
28,73.24000000000001%,19.27000000000001,"A5,B6,C9,D8,E4","{D8:[[0.7, 0.1],[7.3, 0.1],[7.3, 3.6],[0.7, 3.6]],A5:[[7.3, 1.4],[9.8, 1.4],[9.8, 2.8],[7.3, 2.8]],C9:[[4.6, 3.6],[9.7, 3.6],[9.7, 7.1],[4.6, 7.1]],B6:[[1.0, 3.6],[3.7, 3.6],[3.7, 6.0],[1.0, 6.0]],E4:[[7.3, 0.0],[8.8, 0.0],[8.8, 1.2],[7.3, 1.2]]}"
29,73.17%,19.319999999999993,"A7,B6,C8,D8,E3","{D8:[[1.8, 0.1],[8.4, 0.1],[8.4, 3.6],[1.8, 3.6]],E3:[[8.4, 1.8],[9.6, 1.8],[9.6, 2.8],[8.4, 2.8]],C8:[[2.7, 3.6],[7.5, 3.6],[7.5, 7.1],[2.7, 7.1]],A7:[[7.5, 3.6],[9.2, 3.6],[9.2, 6.6],[7.5, 6.6]],B6:[[0.0, 3.6],[2.7, 3.6],[2.7, 6.0],[0.0, 6.0]]}"
30,73.11999999999999%,19.35,"A7,B4,C9,D8,E3","{D8:[[2.1, 0.2],[8.7, 0.2],[8.7, 3.7],[2.1, 3.7]],E3:[[8.7, 1.2],[9.9, 1.2],[9.9, 2.2],[8.7, 2.2]],C9:[[1.2, 3.7],[6.3, 3.7],[6.3, 7.2],[1.2, 7.2]],B4:[[6.4, 3.7],[9.4, 3.7],[9.4, 5.5],[6.4, 5.5]],A7:[[0.4, 0.5],[2.1, 0.5],[2.1, 3.5],[0.4, 3.5]]}"
31,73.11999999999999%,19.35000000000001,"A5,B7,C9,D8,E2","{D8:[[0.6, 0.2],[7.2, 0.2],[7.2, 3.7],[0.6, 3.7]],C9:[[3.3, 3.7],[8.4, 3.7],[8.4, 7.2],[3.3, 7.2]],E2:[[7.2, 1.2],[8.2, 1.2],[8.2, 2.2],[7.2, 2.2]],B7:[[0.2, 3.7],[3.2, 3.7],[3.2, 6.1],[0.2, 6.1]],A5:[[7.2, 2.3],[9.7, 2.3],[9.7, 3.7],[7.2, 3.7]]}"
32,73.1%,19.369999999999997,"A7,B6,C9,D8,E1","{D8:[[1.6, 0.0],[8.2, 0.0],[8.2, 3.5],[1.6, 3.5]],A7:[[8.2, 1.1],[9.9, 1.1],[9.9, 4.1],[8.2, 4.1]],C9:[[2.8, 3.5],[7.9, 3.5],[7.9, 7.0],[2.8, 7.0]],E1:[[8.2, 0.0],[8.3, 0.0],[8.3, 1.0],[8.2, 1.0]],B6:[[0.1, 3.5],[2.8, 3.5],[2.8, 5.9],[0.1, 5.9]]}"
