image_id, usage, remain_area, combination, arrangement
24,78.18%,15.710000000000008,"A3,B7,C9,D8,E1,F1","{D8:[[2.1, 0.1],[8.7, 0.1],[8.7, 3.6],[2.1, 3.6]],C9:[[3.6, 3.6],[8.7, 3.6],[8.7, 7.1],[3.6, 7.1]],E1:[[8.7, 1.4],[9.7, 1.4],[9.7, 2.4],[8.7, 2.4]],B7:[[0.3, 3.6],[3.3, 3.6],[3.3, 6.0],[0.3, 6.0]],A3:[[8.7, 2.4],[9.9, 2.4],[9.9, 4.6],[8.7, 4.6]],F1:[[0.6, 0.6],[2.1, 0.6],[2.1, 3.6],[0.6, 3.6]]}"
25,78.12%,15.750000000000007,"A1,B7,C9,D8,E3,F1","{D8:[[1.7, 3.5],[8.3, 3.5],[8.3, 7.0],[1.7, 7.0]],B7:[[5.5, 1.1],[8.5, 1.1],[8.5, 3.5],[5.5, 3.5]],C9:[[0.2, 0.0],[5.3, 0.0],[5.3, 3.5],[0.2, 3.5]],F1:[[8.2, 3.8],[9.7, 3.8],[9.7, 6.8],[8.2, 6.8]],A1:[[0.7, 4.0],[1.7, 4.0],[1.7, 5.8],[0.7, 5.8]],E3:[[0.2, 5.8],[1.7, 5.8],[1.7, 7.0],[0.2, 7.0]]}"
26,77.92%,15.900000000000006,"A5,B7,C8,D8,E1,F1","{D8:[[1.9, 3.6],[8.5, 3.6],[8.5, 7.1],[1.9, 7.1]],E1:[[6.3, 2.6],[7.3, 2.6],[7.3, 3.6],[6.3, 3.6]],C8:[[0.5, 0.1],[5.3, 0.1],[5.3, 3.6],[0.5, 3.6]],B7:[[7.5, 0.6],[9.9, 0.6],[9.9, 3.6],[7.5, 3.6]],F1:[[8.5, 3.6],[10.0, 3.6],[10.0, 6.6],[8.5, 6.6]],A5:[[0.5, 4.3],[1.9, 4.3],[1.9, 6.8],[0.5, 6.8]]}"
27,77.9%,15.909999999999997,"A4,B7,C9,D8,E2,F1","{D8:[[2.2, 0.2],[8.8, 0.2],[8.8, 3.7],[2.2, 3.7]],C9:[[2.2, 3.7],[7.3, 3.7],[7.3, 7.2],[2.2, 7.2]],B7:[[7.4, 3.7],[9.8, 3.7],[9.8, 6.7],[7.4, 6.7]],A4:[[0.6, 0.6],[2.2, 0.6],[2.2, 2.0],[0.6, 2.0]],E2:[[8.8, 1.0],[9.8, 1.0],[9.8, 2.2],[8.8, 2.2]],F1:[[0.7, 2.1],[2.2, 2.1],[2.2, 5.1],[0.7, 5.1]]}"
28,77.85%,15.950000000000003,"A6,B4,C9,D8,E3,F1","{D8:[[1.9, 0.1],[8.5, 0.1],[8.5, 3.6],[1.9, 3.6]],B4:[[0.0, 3.6],[3.0, 3.6],[3.0, 5.4],[0.0, 5.4]],C9:[[4.4, 3.6],[9.5, 3.6],[9.5, 7.1],[4.4, 7.1]],A6:[[0.2, 0.8],[1.9, 0.8],[1.9, 2.8],[0.2, 2.8]],F1:[[8.5, 0.3],[10.0, 0.3],[10.0, 3.3],[8.5, 3.3]],E3:[[3.1, 3.6],[4.3, 3.6],[4.3, 5.1],[3.1, 5.1]]}"
29,77.85%,15.950000000000003,"A2,B7,C9,D8,E2,F1","{D8:[[2.1, 3.5],[8.7, 3.5],[8.7, 7.0],[2.1, 7.0]],E2:[[5.9, 2.5],[7.1, 2.5],[7.1, 3.5],[5.9, 3.5]],C9:[[0.0, 0.0],[5.1, 0.0],[5.1, 3.5],[0.0, 3.5]],F1:[[0.6, 4.0],[2.1, 4.0],[2.1, 7.0],[0.6, 7.0]],B7:[[7.5, 0.5],[9.9, 0.5],[9.9, 3.5],[7.5, 3.5]],A2:[[8.7, 3.8],[9.8, 3.8],[9.8, 5.8],[8.7, 5.8]]}"
30,77.83%,15.960000000000008,"A3,B7,C8,D8,E3,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],B7:[[0.1, 3.6],[3.1, 3.6],[3.1, 6.0],[0.1, 6.0]],C8:[[3.4, 3.6],[8.2, 3.6],[8.2, 7.1],[3.4, 7.1]],A3:[[8.2, 1.7],[9.4, 1.7],[9.4, 3.9],[8.2, 3.9]],F1:[[0.2, 0.2],[1.7, 0.2],[1.7, 3.2],[0.2, 3.2]],E3:[[8.2, 0.3],[9.7, 0.3],[9.7, 1.5],[8.2, 1.5]]}"
31,77.79%,15.990000000000002,"A8,B5,C9,D8,E2,F1","{D8:[[1.9, 0.1],[8.5, 0.1],[8.5, 3.6],[1.9, 3.6]],C9:[[0.1, 3.6],[5.2, 3.6],[5.2, 7.1],[0.1, 7.1]],B5:[[6.8, 3.6],[9.2, 3.6],[9.2, 5.7],[6.8, 5.7]],F1:[[8.5, 0.1],[10.0, 0.1],[10.0, 3.1],[8.5, 3.1]],E2:[[5.3, 3.6],[6.5, 3.6],[6.5, 4.6],[5.3, 4.6]],A8:[[0.1, 0.1],[1.9, 0.1],[1.9, 2.5],[0.1, 2.5]]}"
32,77.78%,16.0,"A6,B7,C8,D8,E1,F1","{D8:[[1.7, 3.6],[8.3, 3.6],[8.3, 7.1],[1.7, 7.1]],B7:[[6.7, 1.2],[9.7, 1.2],[9.7, 3.6],[6.7, 3.6]],C8:[[1.5, 0.1],[6.3, 0.1],[6.3, 3.6],[1.5, 3.6]],A6:[[8.2, 4.6],[9.9, 4.6],[9.9, 6.6],[8.2, 6.6]],F1:[[0.2, 3.9],[1.7, 3.9],[1.7, 6.9],[0.2, 6.9]],E1:[[8.2, 3.6],[9.2, 3.6],[9.2, 4.6],[8.2, 4.6]]}"
33,77.74%,16.03,"A4,B6,C9,D8,E3,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],C9:[[3.1, 3.6],[8.2, 3.6],[8.2, 7.1],[3.1, 7.1]],B6:[[0.2, 3.6],[2.9, 3.6],[2.9, 6.0],[0.2, 6.0]],E3:[[8.2, 2.7],[9.7, 2.7],[9.7, 3.9],[8.2, 3.9]],A4:[[8.2, 0.1],[9.8, 0.1],[9.8, 1.5],[8.2, 1.5]],F1:[[0.2, 0.2],[1.7, 0.2],[1.7, 3.2],[0.2, 3.2]]}"
