image_id, usage, remain_area, combination, arrangement
21,79.13%,15.030000000000001,"A8,B4,C9,D8,E3,F1","{D8:[[1.5, 0.1],[8.1, 0.1],[8.1, 3.6],[1.5, 3.6]],C9:[[0.5, 3.6],[5.6, 3.6],[5.6, 7.1],[0.5, 7.1]],A8:[[8.1, 1.2],[9.9, 1.2],[9.9, 3.6],[8.1, 3.6]],B4:[[6.8, 3.6],[9.8, 3.6],[9.8, 5.4],[6.8, 5.4]],F1:[[0.0, 0.5],[1.5, 0.5],[1.5, 3.5],[0.0, 3.5]],E3:[[8.1, 0.0],[9.6, 0.0],[9.6, 1.2],[8.1, 1.2]]}"
22,79.10000000000001%,15.050000000000004,"A7,B4,C9,D8,E1,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],E1:[[8.5, 1.7],[9.5, 1.7],[9.5, 2.7],[8.5, 2.7]],F1:[[8.5, 2.3],[10.0, 2.3],[10.0, 5.3],[8.5, 5.3]],C9:[[0.8, 3.7],[5.9, 3.7],[5.9, 7.2],[0.8, 7.2]],B4:[[6.2, 3.7],[8.0, 3.7],[8.0, 6.7],[6.2, 6.7]],A7:[[0.2, 0.3],[1.9, 0.3],[1.9, 3.3],[0.2, 3.3]]}"
23,79.06%,15.079999999999998,"A8,B7,C8,D8,E1,F1","{D8:[[1.8, 0.1],[8.4, 0.1],[8.4, 3.6],[1.8, 3.6]],F1:[[8.4, 0.6],[9.9, 0.6],[9.9, 3.6],[8.4, 3.6]],E1:[[5.3, 3.6],[6.3, 3.6],[6.3, 4.6],[5.3, 4.6]],B7:[[6.6, 3.6],[9.6, 3.6],[9.6, 6.0],[6.6, 6.0]],C8:[[0.2, 3.6],[5.0, 3.6],[5.0, 7.1],[0.2, 7.1]],A8:[[0.0, 0.6],[1.8, 0.6],[1.8, 3.0],[0.0, 3.0]]}"
24,79.03%,15.100000000000009,"A5,B7,C8,D8,E3,F1","{D8:[[0.4, 0.2],[7.0, 0.2],[7.0, 3.7],[0.4, 3.7]],E3:[[7.0, 2.5],[8.5, 2.5],[8.5, 3.7],[7.0, 3.7]],B7:[[7.0, 0.0],[10.0, 0.0],[10.0, 2.4],[7.0, 2.4]],F1:[[1.7, 3.7],[4.7, 3.7],[4.7, 5.2],[1.7, 5.2]],C8:[[4.9, 3.7],[9.7, 3.7],[9.7, 7.2],[4.9, 7.2]],A5:[[0.3, 3.7],[1.7, 3.7],[1.7, 6.2],[0.3, 6.2]]}"
25,78.89%,15.200000000000003,"A6,B7,C8,D8,E3,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],C8:[[3.1, 3.6],[7.9, 3.6],[7.9, 7.1],[3.1, 7.1]],A6:[[8.3, 0.7],[10.0, 0.7],[10.0, 2.7],[8.3, 2.7]],B7:[[0.0, 3.6],[3.0, 3.6],[3.0, 6.0],[0.0, 6.0]],E3:[[8.3, 2.7],[9.8, 2.7],[9.8, 3.9],[8.3, 3.9]],F1:[[0.2, 0.5],[1.7, 0.5],[1.7, 3.5],[0.2, 3.5]]}"
26,78.86999999999999%,15.21,"A7,B5,C9,D8,E2,F1","{D8:[[1.9, 3.7],[8.5, 3.7],[8.5, 7.2],[1.9, 7.2]],E2:[[3.2, 2.7],[4.4, 2.7],[4.4, 3.7],[3.2, 3.7]],C9:[[4.7, 0.2],[9.8, 0.2],[9.8, 3.7],[4.7, 3.7]],B5:[[0.6, 1.6],[3.0, 1.6],[3.0, 3.7],[0.6, 3.7]],F1:[[8.5, 4.1],[10.0, 4.1],[10.0, 7.1],[8.5, 7.1]],A7:[[0.2, 4.0],[1.9, 4.0],[1.9, 7.0],[0.2, 7.0]]}"
27,78.75%,15.300000000000004,"A7,B4,C8,D8,E3,F1","{D8:[[1.8, 0.0],[8.4, 0.0],[8.4, 3.5],[1.8, 3.5]],B4:[[5.3, 3.5],[8.3, 3.5],[8.3, 5.3],[5.3, 5.3]],C8:[[0.1, 3.5],[4.9, 3.5],[4.9, 7.0],[0.1, 7.0]],E3:[[8.4, 1.4],[9.9, 1.4],[9.9, 2.6],[8.4, 2.6]],F1:[[8.4, 2.2],[9.9, 2.2],[9.9, 5.2],[8.4, 5.2]],A7:[[0.1, 0.4],[1.8, 0.4],[1.8, 3.4],[0.1, 3.4]]}"
28,78.74%,15.310000000000002,"A4,B7,C9,D8,E3,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],C9:[[3.7, 3.6],[8.8, 3.6],[8.8, 7.1],[3.7, 7.1]],A4:[[8.3, 0.3],[9.9, 0.3],[9.9, 1.7],[8.3, 1.7]],F1:[[0.2, 0.2],[1.7, 0.2],[1.7, 3.2],[0.2, 3.2]],B7:[[0.3, 3.6],[3.3, 3.6],[3.3, 6.0],[0.3, 6.0]],E3:[[8.3, 1.8],[9.8, 1.8],[9.8, 3.0],[8.3, 3.0]]}"
29,78.71000000000001%,15.330000000000013,"A7,B3,C9,D8,E3,F1","{D8:[[1.6, 0.2],[8.2, 0.2],[8.2, 3.7],[1.6, 3.7]],A7:[[8.2, 1.2],[9.9, 1.2],[9.9, 4.2],[8.2, 4.2]],C9:[[2.7, 3.7],[7.8, 3.7],[7.8, 7.2],[2.7, 7.2]],F1:[[0.1, 0.5],[1.6, 0.5],[1.6, 3.5],[0.1, 3.5]],B3:[[0.2, 3.7],[2.6, 3.7],[2.6, 5.5],[0.2, 5.5]],E3:[[8.2, 0.0],[9.7, 0.0],[9.7, 1.2],[8.2, 1.2]]}"
30,78.68%,15.350000000000009,"A2,B7,C9,D8,E3,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],A2:[[8.5, 1.8],[9.6, 1.8],[9.6, 3.8],[8.5, 3.8]],C9:[[4.8, 3.7],[9.9, 3.7],[9.9, 7.2],[4.8, 7.2]],F1:[[0.4, 1.3],[1.9, 1.3],[1.9, 4.3],[0.4, 4.3]],E3:[[8.5, 0.5],[10.0, 0.5],[10.0, 1.7],[8.5, 1.7]],B7:[[2.0, 3.7],[4.4, 3.7],[4.4, 6.7],[2.0, 6.7]]}"
